"U:0","U:1","U:2","epsilon","k","nut","p","Points:0","Points:1","Points:2"
-1.6671,-2.0428,-0.17297,0.47892,1.604,0.036673,13.485,106.15,19.891,0
-0.65954,-1.7138,-0.25036,0.60228,1.8895,0.039619,16.431,120.08,19.931,0
1.6627,-0.55263,-0.36306,0.53822,1.8004,0.038753,21.442,134.01,19.881,0
3.8643,0.005844,-0.2913,0.37672,1.4284,0.034797,23.695,147.95,19.81,0
5.0898,0.050448,-0.18916,0.28055,1.1557,0.031515,22.964,161.91,19.771,0
5.8194,-0.045448,-0.13492,0.23787,1.0121,0.029607,21.124,175.9,19.752,0
6.3361,-0.14378,-0.10289,0.22428,0.96778,0.028984,18.566,189.9,19.735,0
6.7107,-0.15459,-0.081911,0.21908,0.9512,0.028746,15.676,203.95,19.726,0
6.9172,-0.068721,-0.065682,0.21713,0.94588,0.028669,12.787,218.04,19.737,0
6.9692,0.039681,-0.048664,0.21551,0.94017,0.028589,9.7085,232.11,19.767,0
6.9363,0.091027,-0.024272,0.21206,0.93078,0.028459,6.0896,246.13,19.808,0
6.695,0.082246,0.019788,0.15763,1.213,0.061201,3.4061,260.13,19.836,0
6.4254,0.039669,0.080349,0.13041,1.3634,0.095596,2.2427,274.11,19.858,0
6.2356,0.04265,0.090658,0.10727,1.5116,0.12917,1.7643,288.08,19.88,0
6.0942,0.012689,0.087853,0.096714,1.4192,0.12544,1.3316,302.06,19.897,0
5.9469,-0.0115,0.079881,0.085388,1.3108,0.1208,0.6609,316.03,19.91,0
5.8628,-0.014992,0.07332,0.079198,1.2474,0.11802,0.26356,330,19.917,0
9.9742,-0.15401,0.022078,0.20323,1.468,0.066961,98.907,-20,34.034,0
9.7227,-0.68256,0.088115,0.18059,1.3553,0.064504,100.08,-5.9111,34.034,0
8.7208,-1.3284,0.12709,0.28101,1.1461,0.031354,107.47,8.1761,34.009,0
6.2275,-1.3571,0.16643,0.24174,0.901,0.02483,124.19,22.359,33.805,0
-1.4793,3.8386,0.030727,0.92356,1.5456,0.018958,22.501,49.712,33.67,0
4.251,-5.4252,-0.44445,1.478,3.3796,0.051755,25.041,63.791,33.869,0
0.011589,-7.221,-1.2444,1.5819,2.3271,0.022873,88.354,77.736,34,0
-1.1072,0.20507,0.11368,0.26826,0.88552,0.021852,11.213,92.07,33.977,0
-1.7937,-1.0135,-0.35724,0.35536,1.2951,0.033364,12.702,106.11,34.069,0
-0.29189,-1.5404,-0.42936,0.3186,1.2455,0.032842,19.173,120.09,34.043,0
1.1738,-0.98695,-0.27435,0.22792,1.0133,0.029809,22.405,133.98,33.848,0
2.4975,-0.55994,-0.13423,0.16982,0.82981,0.027152,23.393,147.9,33.677,0
3.5533,-0.40813,-0.043523,0.14831,0.73874,0.025672,22.838,161.86,33.623,0
4.432,-0.47496,0.0013739,0.15442,0.7437,0.025682,21.038,175.82,33.618,0
5.2566,-0.53837,0.014316,0.16898,0.7868,0.026335,18.052,189.82,33.603,0
6.0216,-0.4478,0.012422,0.18422,0.83591,0.027079,14.114,203.87,33.59,0
6.4889,-0.085547,0.0063627,0.19628,0.87447,0.027648,10.534,218.08,33.616,0
